radius (m),length (m),xy,y,z,axis_direction,,,branch,branch_order
0.0022,0.0484,-15.5886,141.957,161.065,-0.2752,-0.2039,0.9395,5,1
0.0026,0.0491,-15.6035,141.948,161.11,-0.2138,-0.1989,0.9564,5,1
0.0043,0.1227,-15.6133,141.932,161.156,-0.157,-0.0828,0.9841,5,1
0.0118,0.2299,-15.3949,143.855,160.378,-0.4183,0.2508,0.873,6,2
0.0048,0.0714,-15.5051,143.905,160.574,-0.3688,0.2152,0.9043,6,2
0.0067,0.0627,-15.5293,143.925,160.639,-0.358,0.1283,0.9249,6,2
0.0036,0.0689,-15.5577,143.929,160.695,-0.3172,0.1514,0.9362,6,2
0.004,0.1108,-15.5804,143.938,160.76,-0.283,0.1687,0.9442,6,2
0.0027,0.0846,-15.6149,143.954,160.864,-0.2898,0.1768,0.9406,6,2
0.003,0.0989,-15.6398,143.968,160.944,-0.3074,0.1966,0.931,6,2
0.0031,0.0884,-15.6706,143.989,161.036,-0.3219,0.1671,0.9319,6,2
0.0033,0.092,-15.702,144.003,161.117,-0.2831,0.1548,0.9465,6,2
0.0198,0.2914,-14.8403,143.579,160.125,-0.6032,-0.7354,0.3088,7,2
0.0175,0.1353,-15.0186,143.361,160.206,-0.5714,-0.6743,0.4677,7,2
0.0176,0.1587,-15.0961,143.269,160.27,-0.5296,-0.5296,0.6626,7,2
0.018,0.0647,-15.1773,143.185,160.378,-0.6833,-0.4649,0.5629,7,2
0.0175,0.075,-15.2246,143.157,160.412,-0.6741,-0.4379,0.5949,7,2
0.0142,0.063,-15.2748,143.123,160.456,-0.5337,-0.4933,0.6869,7,2
0.0151,0.0899,-15.3223,143.108,160.509,-0.2526,-0.642,0.7239,7,2
0.0117,0.0548,-15.3376,143.037,160.567,-0.0381,-0.4767,0.8782,7,2
0.0115,0.0576,-15.3382,143.014,160.617,-0.0164,-0.4439,0.8959,7,2
0.0167,0.1659,-15.3437,142.996,160.671,-0.0035,-0.283,0.9591,7,2
0.0107,0.112,-15.3461,142.94,160.827,-0.0519,-0.2724,0.9608,7,2
0.0102,0.1267,-15.3547,142.909,160.934,-0.0808,-0.1618,0.9835,7,2
0.0132,0.1345,-15.3597,142.89,161.06,-0.053,-0.1365,0.9892,7,2
0.0092,0.0908,-15.3724,142.87,161.192,-0.038,-0.0558,0.9977,7,2
0.0088,0.0589,-15.3765,142.864,161.283,-0.0236,-0.014,0.9996,7,2
0.0085,0.0708,-15.3781,142.863,161.342,-0.0226,0.0001,0.9997,7,2
0.0078,0.1944,-15.379,142.86,161.413,-0.0633,0.056,0.9964,7,2
0.0133,0.0692,-15.4046,142.856,161.607,0.0841,-0.0207,0.9962,7,2
0.0129,0.0703,-15.3889,142.888,161.681,-0.1691,-0.0884,0.9816,7,2
0.0094,0.1419,-15.3957,142.877,161.75,-0.0054,-0.0033,1,7,2
0.0025,0.4859,-14.9198,143.688,160.149,-0.5027,-0.0257,0.8641,8,2
0.0047,0.0852,-15.1254,143.871,160.538,-0.981,0.1942,0.0045,8,2
0.0035,0.2145,-15.2006,143.888,160.542,-0.4312,0.0807,0.8987,8,2
0.006,0.138,-15.1077,143.734,160.213,0.077,-0.2127,0.9741,9,2
0.008,0.0683,-15.1081,143.695,160.348,0.2978,-0.2565,0.9195,9,2
0.006,0.0705,-15.092,143.689,160.415,0.1467,-0.307,0.9403,9,2
0.004,0.1187,-15.0872,143.666,160.482,0.1932,-0.249,0.949,9,2
0.0043,0.073,-15.0638,143.638,160.595,0.2167,-0.2869,0.9331,9,2
0.0024,0.0693,-15.0514,143.616,160.664,0.2488,-0.3241,0.9127,9,2
0.0032,0.0689,-15.0335,143.594,160.727,0.244,-0.3349,0.9101,9,2
0.0032,0.0498,-15.0181,143.569,160.79,0.2704,-0.2952,0.9164,9,2
0.003,0.0559,-15.003,143.553,160.834,0.2712,-0.2639,0.9256,9,2
0.0045,0.1445,-14.9832,143.539,160.885,0.1879,-0.1775,0.966,9,2
0.0094,0.0551,-15.2359,143.8,160.237,0.4454,0.8003,-0.4015,10,2
0.0087,0.2109,-15.2113,143.844,160.214,0.1565,0.3816,-0.911,10,2
0.007,0.0781,-15.1616,143.917,160.007,-0.401,0.5533,-0.7301,10,2
0.0042,0.237,-15.3076,143.833,160.282,0.1254,0.7223,-0.6801,11,2
0.0087,0.1353,-15.3105,143.804,160.303,0.2415,-0.2824,0.9284,12,2
0.0079,0.0522,-15.2784,143.765,160.428,0.2914,-0.2748,0.9163,12,2
0.0069,0.0571,-15.2638,143.749,160.476,0.281,-0.2257,0.9328,12,2
0.0088,0.094,-15.2457,143.737,160.529,0.2952,-0.2086,0.9324,12,2
0.0095,0.0715,-15.2167,143.718,160.616,0.2754,-0.1665,0.9468,12,2
0.0096,0.1694,-15.1981,143.706,160.684,0.3056,-0.1435,0.9413,12,2
0.0063,0.1152,-15.151,143.678,160.845,0.2626,-0.1334,0.9556,12,2
0.0107,0.1199,-15.108,143.668,160.952,0.2508,-0.1126,0.9615,12,2
0.0063,0.1486,-15.0828,143.653,161.068,0.1571,-0.1298,0.979,12,2
0.0085,0.1197,-15.0655,143.631,161.215,0.2905,-0.0488,0.9556,12,2
0.0089,0.1131,-15.0297,143.63,161.33,0.1497,-0.0583,0.987,12,2
0.0086,0.0913,-15.0122,143.624,161.441,0.1571,-0.0558,0.986,12,2
0.0062,0.1334,-14.9974,143.615,161.531,0.0683,-0.0576,0.996,12,2
0.0065,0.1843,-14.9906,143.604,161.665,0.2717,0.0392,0.9616,12,2
0.0121,0.0461,-14.9342,143.612,161.841,0.1253,0.0198,0.9919,12,2
0.0121,0.0466,-14.9231,143.609,161.895,0.6985,0.6852,-0.2064,12,2
0.0098,0.1367,-15.341,143.838,160.29,-0.3263,0.9112,0.2516,13,2
0.0142,0.0784,-15.4024,143.961,160.314,-0.147,0.977,0.1546,13,2
0.0135,0.1332,-15.4145,144.038,160.326,-0.1248,0.9825,0.1386,13,2
0.0111,0.051,-15.4311,144.171,160.359,-0.138,0.9777,-0.158,13,2
0.0111,0.1017,-15.4347,144.222,160.348,-0.3431,0.9341,-0.0985,13,2
0.0091,0.1588,-15.4707,144.317,160.341,-0.3226,0.9403,-0.1082,13,2
0.0026,0.1235,-15.8594,143.57,161.652,-0.7704,0.1791,0.6119,14,2
0.0034,0.135,-15.9563,143.592,161.726,-0.688,0.167,0.7062,14,2
0.011,0.164,-15.5102,143.778,160.584,0.0388,-0.2494,0.9676,15,2
0.0092,0.1135,-15.516,143.726,160.742,0.1176,-0.1625,0.9797,15,2
0.0112,0.1198,-15.5036,143.716,160.855,0.1686,-0.1794,0.9692,15,2
0.0072,0.0621,-15.4809,143.685,160.969,0.1767,-0.1613,0.9709,15,2
0.0056,0.0733,-15.4708,143.671,161.029,0.1693,-0.1834,0.9683,15,2
0.0036,0.1071,-15.4594,143.658,161.1,0.1922,-0.1764,0.9654,15,2
0.0048,0.1194,-15.4346,143.643,161.203,0.2022,-0.201,0.9585,15,2
0.0036,0.0608,-15.4127,143.617,161.318,0.222,-0.0819,0.9716,15,2
0.0036,0.1438,-15.4011,143.611,161.378,0.1989,0.0123,0.9799,15,2
0.005,0.0635,-15.6312,143.678,160.688,0.6788,-0.6149,0.4014,16,2
0.0048,0.1628,-15.5834,143.645,160.717,0.6208,-0.708,0.3368,16,2
0.0057,0.199,-15.4805,143.529,160.77,0.5325,-0.6881,0.4929,16,2
0.0034,0.2758,-15.6564,143.657,160.728,0.3115,-0.1732,0.9343,17,2
0.0027,0.0741,-15.5687,143.611,160.986,0.2616,-0.2149,0.941,17,2
0.0027,0.1427,-15.5478,143.596,161.055,0.2158,-0.2345,0.9479,17,2
0.005,0.0976,-15.7112,143.62,160.806,0.153,-0.7436,0.6509,18,2
0.005,0.1449,-15.6963,143.548,160.87,0.2247,-0.5127,0.8286,18,2
0.0046,0.0648,-15.6679,143.469,160.988,0.1704,-0.4533,0.8749,18,2
0.0041,0.0685,-15.6564,143.44,161.045,0.1514,-0.4353,0.8875,18,2
0.0044,0.0757,-15.6467,143.408,161.105,0.211,-0.3624,0.9078,18,2
0.0046,0.0609,-15.6297,143.382,161.174,0.1804,-0.3571,0.9165,18,2
0.0049,0.0659,-15.6205,143.357,161.229,0.2088,-0.2821,0.9364,18,2
0.0034,0.1127,-15.6076,143.334,161.29,0.2096,-0.2404,0.9478,18,2
0.0035,0.0716,-15.5802,143.308,161.396,0.18,-0.2019,0.9627,18,2
0.0028,0.0701,-15.5678,143.293,161.465,0.1667,-0.1946,0.9666,18,2
0.0029,0.075,-15.5563,143.28,161.533,0.1659,-0.1978,0.9661,18,2
0.0071,0.1204,-15.5478,143.267,161.607,0.3004,-0.0515,0.9524,18,2
0.0069,0.1721,-15.7621,143.618,160.865,-0.7191,0.2206,0.659,19,2
0.0069,0.0646,-15.8859,143.656,160.979,-0.6564,0.2551,0.71,19,2
0.0062,0.0633,-15.9296,143.671,161.024,-0.6431,0.2973,0.7057,19,2
0.0053,0.0695,-15.9718,143.69,161.067,-0.6499,0.2884,0.7031,19,2
0.0096,0.071,-16.0119,143.715,161.118,-0.6026,0.2501,0.7579,19,2
0.0046,0.0685,-16.0623,143.731,161.167,-0.5428,0.2674,0.7961,19,2
0.0092,0.0624,-16.0957,143.751,161.224,-0.5342,0.3061,0.788,19,2
0.0046,0.0653,-16.1354,143.768,161.271,-0.4217,0.1688,0.8909,19,2
0.0046,0.1122,-16.1665,143.779,161.328,-0.3074,0.062,0.9496,19,2
0.0032,0.0481,-15.8229,143.554,161.072,-0.8679,-0.4928,0.062,20,2
0.0047,0.1215,-15.8701,143.536,161.071,-0.8049,-0.5573,0.204,20,2
0.0046,0.1118,-15.972,143.469,161.09,-0.7087,-0.5581,0.4317,20,2
0.0035,0.1349,-16.0537,143.407,161.136,-0.5933,-0.4973,0.633,20,2
0.0048,0.1739,-15.8156,143.57,161.109,-0.4299,0.7584,0.4899,21,2
0.0043,0.07,-15.8917,143.703,161.192,-0.3485,0.6712,0.6542,21,2
0.0041,0.1034,-15.9171,143.75,161.237,-0.2082,0.6437,0.7365,21,2
0.0041,0.1421,-15.9406,143.818,161.312,-0.0992,0.4684,0.8779,21,2
0.0037,0.1233,-15.8312,143.546,161.127,-0.4654,-0.7463,0.4759,22,2
0.0053,0.0861,-15.8885,143.452,161.184,-0.3947,-0.6808,0.617,22,2
0.0044,0.0671,-15.9241,143.393,161.236,-0.2543,-0.6054,0.7542,22,2
0.0039,0.0654,-15.9436,143.352,161.286,-0.16,-0.5326,0.8311,22,2
0.0034,0.067,-15.9565,143.316,161.339,-0.1417,-0.4746,0.8687,22,2
0.003,0.068,-15.9665,143.283,161.397,-0.132,-0.4384,0.889,22,2
0.0025,0.1349,-15.9775,143.251,161.456,-0.1316,-0.3642,0.922,22,2
0.008,0.0472,-15.8211,143.563,161.161,0.4822,0.7267,0.4893,23,2
0.0078,0.1693,-15.7805,143.6,161.166,0.7117,0.0214,0.7022,23,2
0.0077,0.0924,-15.6648,143.624,161.282,0.4658,0.2303,0.8544,23,2
0.0049,0.0982,-15.6147,143.638,161.36,0.3183,0.2368,0.9179,23,2
0.0044,0.0665,-15.5788,143.658,161.45,0.3234,0.2405,0.9152,23,2
0.0039,0.0627,-15.556,143.673,161.51,0.2638,0.2678,0.9267,23,2
0.0072,0.1082,-15.5401,143.699,161.567,0.1937,0.1262,0.9729,23,2
0.0034,0.0863,-15.8352,143.559,161.172,-0.9126,0.1799,0.3671,24,2
0.0042,0.12,-15.9171,143.58,161.197,-0.8704,0.107,0.4806,24,2
0.0045,0.0623,-16.0229,143.593,161.253,-0.7706,0.0683,0.6336,24,2
0.004,0.0673,-16.0723,143.598,161.291,-0.7195,0.0158,0.6943,24,2
0.0036,0.0673,-16.1213,143.6,161.337,-0.6304,-0.0225,0.776,24,2
0.0027,0.1293,-16.1658,143.599,161.388,-0.5513,-0.0587,0.8323,24,2
0.0027,0.1307,-15.8169,143.552,161.172,0.3521,-0.6151,0.7054,25,2
0.0031,0.1092,-15.7673,143.465,161.259,0.3089,-0.4828,0.8194,25,2
0.0036,0.1917,-15.7318,143.411,161.348,0.24,-0.4086,0.8806,25,2
0.0025,0.1073,-15.8389,143.559,161.549,0.7397,-0.236,0.6302,26,2
0.0025,0.222,-15.8224,143.603,161.638,0.6355,0.3678,0.6788,26,2
0.0399,0.1168,-14.0008,143.982,159.104,0.7051,-0.0827,0.7042,27,2
0.0399,0.1644,-13.9184,143.972,159.186,0.34,-0.0716,0.9377,27,2
0.0404,0.0874,-13.8647,143.968,159.348,0.3274,-0.6527,0.6833,27,2
0.0354,0.1671,-13.8337,143.917,159.419,0.4014,-0.8355,0.3752,27,2
0.0344,0.118,-13.7643,143.777,159.48,0.3947,-0.8349,0.3837,27,2
0.035,0.11,-13.7161,143.678,159.523,0.3515,-0.7944,0.4953,27,2
0.0348,0.1501,-13.6752,143.588,159.573,0.2409,-0.6943,0.6781,27,2
0.0298,0.0995,-13.6394,143.474,159.671,0.1611,-0.3645,0.9171,27,2
0.0299,0.1257,-13.6228,143.438,159.763,0.143,-0.362,0.9211,27,2
0.0268,0.1827,-13.5989,143.395,159.874,0.6304,-0.5384,0.5592,27,2
0.0238,0.0771,-13.4813,143.299,159.976,0.7452,-0.6425,0.1786,27,2
0.021,0.0762,-13.4236,143.25,159.989,0.731,-0.6581,0.1805,27,2
0.0201,0.0702,-13.3671,143.2,160.002,0.7285,-0.6357,0.2554,27,2
0.0195,0.0718,-13.3161,143.154,160.017,0.7209,-0.6034,0.3409,27,2
0.0204,0.1098,-13.2621,143.11,160.038,0.6924,-0.5566,0.4591,27,2
0.0216,0.0755,-13.1854,143.052,160.091,0.5664,-0.6538,0.5017,27,2
0.0203,0.0758,-13.1401,143.005,160.131,0.4852,-0.8062,0.3386,27,2
0.0185,0.0883,-13.1054,142.942,160.155,0.3776,-0.8336,0.4032,27,2
0.0188,0.0895,-13.0708,142.868,160.189,0.3854,-0.763,0.519,27,2
