radius (m),length (m),x,y,z,axis_direction,,,branch,branch_order
0.0063,0.1193,-26.1349,130.353,160.236,0.5783,0.1115,0.8082,11,2
0.0067,0.0469,-26.0641,130.367,160.331,0.4024,0.0642,0.9132,11,2
0.0065,0.0498,-26.0449,130.37,160.374,0.3349,0.0542,0.9407,11,2
0.0058,0.1183,-26.0295,130.375,160.421,0.3124,-0.0567,0.9482,11,2
0.0094,0.0602,-25.9885,130.359,160.534,0.2484,0.1364,0.959,11,2
0.0159,0.1725,-27.4813,130.708,159.517,-0.6317,0.444,0.6354,12,2
0.0157,0.0812,-27.5904,130.788,159.625,-0.6544,0.2758,0.704,12,2
0.0142,0.0649,-27.6433,130.813,159.682,-0.589,0.1401,0.7959,12,2
0.0143,0.0809,-27.683,130.823,159.732,-0.5355,0.1127,0.837,12,2
0.0143,0.0751,-27.7265,130.833,159.8,-0.4791,0.0943,0.8727,12,2
0.0142,0.0793,-27.7611,130.84,159.865,-0.1534,0.301,0.9412,12,2
0.0129,0.0695,-27.7964,130.863,159.946,0.188,0.5476,0.8153,12,2
0.0084,0.0939,-27.7747,130.904,159.999,0.1656,0.4573,0.8737,12,2
0.015,0.1752,-27.7515,130.941,160.086,-0.3161,0.2562,0.9135,12,2
0.0043,0.1139,-27.8227,130.984,160.24,-0.3757,0.1421,0.9158,12,2
0.0206,0.1528,-27.3605,130.88,159.614,-0.2771,0.916,0.2901,13,2
0.0212,0.2041,-27.4042,131.02,159.659,-0.2573,0.9273,0.2717,13,2
0.0226,0.086,-27.4571,131.209,159.713,-0.2265,0.9383,0.2614,13,2
0.0203,0.1072,-27.4785,131.294,159.714,0.1189,0.9763,0.1808,13,2
0.0191,0.1249,-27.4944,131.408,159.757,0.1243,0.9695,-0.211,13,2
0.0198,0.1433,-27.4779,131.53,159.733,0.0564,0.8241,-0.5636,13,2
0.0186,0.1698,-27.4689,131.648,159.652,0.0994,0.9053,-0.4129,13,2
0.0197,0.0597,-27.4582,131.805,159.578,0.4329,0.9002,0.047,13,2
0.0211,0.4283,-27.4285,131.876,159.542,0.2346,0.881,0.4107,13,2
0.0115,0.0255,-27.357,132.257,159.72,0.1513,0.8407,0.5199,13,2
0.0095,0.0396,-27.3522,132.28,159.731,0.0371,0.7814,0.623,13,2
0.0091,0.0741,-27.3669,132.314,159.755,0.0942,0.6978,0.7101,13,2
0.0099,0.0733,-27.3467,132.363,159.81,0.0108,0.691,0.7227,13,2
0.008,0.0539,-27.3516,132.423,159.856,0.0573,0.6052,0.794,13,2
0.0074,0.1073,-27.3504,132.456,159.899,0.0793,0.6018,0.7947,13,2
0.0068,0.0644,-27.342,132.521,159.984,0.0702,0.5814,0.8106,13,2
0.0031,0.0774,-27.3373,132.56,160.035,0.0084,0.5403,0.8414,13,2
0.0037,0.0767,-27.3367,132.602,160.1,0.0398,0.5375,0.8423,13,2
0.0032,0.0666,-27.3319,132.644,160.165,0.0363,0.4427,0.8959,13,2
0.004,0.0678,-27.329,132.674,160.224,-0.0552,0.4364,0.8981,13,2
0.0053,0.0851,-27.3354,132.706,160.284,0.0731,0.3498,0.934,13,2
0.0048,0.1658,-27.3353,132.74,160.363,0.0849,0.3545,0.9312,13,2
0.0054,0.0882,-27.3211,132.793,160.519,0.0159,0.3401,0.9403,13,2
0.0035,0.0647,-27.3189,132.822,160.602,0.0914,0.2928,0.9518,13,2
0.0213,0.1177,-27.236,130.961,159.699,0.7819,0.2533,0.5696,14,2
0.0217,0.0715,-27.1442,130.99,159.767,0.7836,0.2528,0.5675,14,2
0.0219,0.0964,-27.0888,131.009,159.808,0.8023,0.2525,0.5409,14,2
0.0238,0.0894,-27.0124,131.03,159.868,0.9095,0.3383,0.2415,14,2
0.0251,0.0727,-26.9308,131.061,159.895,0.9092,0.3899,-0.1462,14,2
0.0238,0.2165,-26.8658,131.093,159.887,0.9328,0.3544,-0.065,14,2
0.0228,0.074,-26.6638,131.168,159.876,0.9259,0.332,0.1803,14,2
0.0222,0.0655,-26.5954,131.193,159.889,0.9039,0.3563,0.2367,14,2
0.0242,0.081,-26.5334,131.21,159.907,0.7739,0.5325,0.3428,14,2
0.0273,0.0782,-26.4727,131.256,159.931,0.4007,0.858,0.3214,14,2
0.0224,0.0786,-26.4321,131.326,159.943,0.7134,0.4026,0.5735,14,2
0.015,0.1441,-26.3697,131.386,159.975,0.639,0.1985,0.7431,14,2
0.0145,0.0769,-26.2738,131.415,160.079,0.5625,0.1663,0.8099,14,2
0.014,0.0779,-26.2261,131.427,160.139,0.4729,0.1566,0.8671,14,2
0.0133,0.1674,-26.1867,131.441,160.206,0.3683,0.1211,0.9218,14,2
0.0125,0.0929,-26.1257,131.461,160.36,0.2912,0.1213,0.9489,14,2
0.012,0.0799,-26.0991,131.473,160.448,0.2788,0.0986,0.9553,14,2
0.0113,0.1092,-26.075,131.48,160.524,0.2856,0.0899,0.9541,14,2
