radius (m),length (m),x,y,z,a,b,c,branch,branch_order
0.0073,0.0776,-8.19,141.911,160.716,-0.1878,0.2143,0.9585,13,2
0.0052,0.0752,-8.2133,141.93,160.789,-0.116,0.1812,0.9766,13,2
0.0079,0.0816,-8.2178,141.941,160.864,-0.182,0.157,0.9707,13,2
0.0055,0.104,-8.2402,141.959,160.941,-0.1542,0.1147,0.9814,13,2
0.0078,0.0661,-8.2533,141.968,161.044,-0.1948,0.1144,0.9742,13,2
0.0082,0.0686,-8.2657,141.975,161.109,-0.2,0.0983,0.9748,13,2
0.008,0.0616,-8.2815,141.982,161.176,-0.1442,0.1091,0.9835,13,2
0.0081,0.0633,-8.2897,141.988,161.236,-0.1433,0.1046,0.9841,13,2
0.014,0.0883,-8.2982,141.989,161.299,-0.1086,0.1246,0.9862,13,2
0.0065,0.156,-8.3182,142.01,161.386,-0.0198,0.0313,0.9993,13,2
0.0054,0.1067,-8.3212,142.02,161.542,-0.076,0.0159,0.997,13,2
0.0054,0.0903,-8.3283,142.02,161.648,-0.086,0.0023,0.9963,13,2
0.0178,0.1806,-8.3387,142.035,161.738,-0.062,0.0269,0.9977,13,2
0.0053,0.0832,-8.3508,142.026,161.917,-0.0814,-0.0128,0.9966,13,2
0.0053,0.1184,-8.3598,142.025,162,-0.0646,-0.015,0.9978,13,2
0.0157,0.1604,-7.9853,141.767,160.338,0.8704,0.4122,-0.2694,14,2
0.0177,0.1608,-7.8329,141.824,160.276,0.7473,0.6418,0.172,14,2
0.0134,0.0679,-7.7104,141.922,160.308,0.5085,0.7014,0.4994,14,2
0.0107,0.1512,-7.6726,141.966,160.347,0.5686,0.8003,0.1904,14,2
0.0132,0.1329,-7.5952,142.094,160.4,0.4964,0.8664,-0.0543,14,2
0.0101,0.144,-7.5268,142.208,160.396,0.5331,0.8365,-0.1267,14,2
0.0162,0.0832,-7.4437,142.324,160.379,0.5683,0.8227,-0.0125,14,2
0.0199,0.0689,-7.3912,142.397,160.36,0.5855,0.7218,0.3691,14,2
0.0171,0.0626,-7.3779,142.472,160.395,0.6615,0.5125,0.5475,14,2
0.01,0.0669,-7.322,142.505,160.419,0.429,0.5605,0.7083,14,2
0.0168,0.0752,-7.281,142.533,160.472,-0.0961,0.4211,0.9019,14,2
0.0096,0.077,-7.2826,142.577,160.536,0.0528,0.2897,0.9557,14,2
0.0095,0.0589,-7.2795,142.6,160.61,0.0844,0.2696,0.9593,14,2
0.0094,0.1149,-7.2738,142.616,160.666,0.0816,0.2833,0.9555,14,2
0.0092,0.069,-7.2648,142.649,160.776,0.0817,0.2552,0.9634,14,2
0.0091,0.0829,-7.2597,142.667,160.842,0.0739,0.2501,0.9654,14,2
0.0089,0.0802,-7.2527,142.687,160.922,0.0691,0.2539,0.9648,14,2
0.0053,0.0876,-7.2417,142.708,161,-0.065,0.1733,0.9827,14,2
0.0085,0.1175,-7.2498,142.723,161.086,-0.0261,0.1814,0.9831,14,2
0.0062,0.105,-7.2543,142.744,161.202,0.0519,0.1629,0.9853,14,2
0.0125,0.1319,-7.2383,142.76,161.306,-0.0459,0.261,0.9642,14,2
0.0211,0.0892,-7.2469,142.811,161.431,-0.2533,0.0873,0.9634,14,2
0.0195,0.1082,-7.262,142.819,161.517,-0.0021,0.1642,0.9864,14,2
0.0072,0.0553,-7.2541,142.818,161.626,-0.1377,0.0896,0.9864,14,2
0.0125,0.1639,-7.238,142.827,161.688,-0.2851,0.0763,0.9554,14,2
0.0083,0.0486,-8.0095,141.789,160.489,-0.5148,-0.0632,0.855,15,2
0.0083,0.1635,-8.0345,141.786,160.53,0.3831,-0.3426,0.8578,15,2
0.0103,0.0888,-7.7901,141.861,160.656,0.1649,-0.4085,0.8978,16,2
0.0148,0.1251,-7.7786,141.809,160.734,0.2552,-0.176,0.9507,16,2
0.0101,0.1286,-7.7537,141.771,160.85,0.1602,-0.2468,0.9557,16,2
0.0153,0.2047,-7.7467,141.736,160.972,0.0178,-0.3036,0.9526,16,2
0.0165,0.2064,-7.7127,141.686,161.17,0.0004,-0.2769,0.9609,16,2
0.0328,0.1484,-7.8233,141.875,160.634,-0.864,-0.0573,0.5002,17,2
0.0318,0.275,-7.9406,141.861,160.697,-0.4712,-0.8812,-0.0392,17,2
0.0274,0.1256,-8.0949,141.656,160.691,-0.3458,-0.3433,0.8732,17,2
0.0196,0.2208,-8.1716,141.569,160.792,-0.122,-0.1167,0.9856,17,2
0.0162,0.1847,-8.1862,141.523,161.007,-0.1886,-0.2038,0.9607,17,2
0.021,0.0249,-8.2326,141.475,161.208,0.7755,0.3501,0.5255,17,2
0.0208,0.0854,-8.2063,141.54,161.248,0.9385,-0.2375,0.2508,17,2
0.0172,0.1263,-8.0011,141.475,161.311,-0.4365,-0.6135,0.658,17,2
0.0088,0.0806,-8.0272,141.416,161.395,0.0514,-0.1506,0.9873,17,2
0.0056,0.1596,-8.0228,141.404,161.475,-0.0336,-0.1918,0.9809,17,2
0.0439,0.0366,-7.5536,141.877,160.833,-0.283,0.9468,0.1534,18,2
0.0417,0.0459,-7.5569,142.06,160.898,0.2374,-0.3702,0.8981,18,2
0.039,0.2087,-7.6093,142.083,160.911,-0.3304,0.1272,0.9352,18,2
0.0353,0.1295,-7.6611,142.1,161.105,0.2654,0.3438,0.9008,18,2
0.0175,0.1407,-7.6052,142.18,161.219,-0.2018,0.1961,0.9596,18,2
0.0146,0.1681,-7.631,142.21,161.354,-0.1061,0.1815,0.9777,18,2
0.0218,0.0343,-7.4213,141.838,162.933,0.2695,0.9267,-0.2619,19,2
0.0218,0.099,-7.4106,141.873,162.93,0.6133,-0.7288,0.3045,19,2
0.0211,0.2945,-7.3824,141.77,162.99,0.6363,-0.7637,-0.1088,19,2
0.0216,0.1962,-7.2327,141.514,162.962,0.0105,-0.1344,-0.9909,19,2
0.0215,0.0944,-7.2537,141.483,162.774,-0.225,-0.0833,-0.9708,19,2
0.0205,0.2836,-7.2393,141.496,162.674,-0.085,-0.2257,-0.9705,19,2
0.0207,0.0718,-7.2689,141.465,162.403,-0.2428,0.0923,-0.9657,19,2
0.02,0.0969,-7.2933,141.447,162.344,0.5602,-0.4299,-0.7081,19,2
0.0198,0.1129,-7.2325,141.371,162.254,-0.3537,0.438,-0.8265,19,2
0.0183,0.1351,-7.2848,141.403,162.161,-0.3974,0.2667,-0.878,19,2
0.0127,0.0966,-7.3757,141.442,162.05,-0.182,0.0742,-0.9805,19,2
0.0124,0.0575,-7.3927,141.45,161.955,-0.1648,0.0743,-0.9835,19,2
0.0121,0.0702,-7.4004,141.456,161.898,-0.0095,-0.0211,-0.9997,19,2
0.0177,0.0713,-7.3857,141.449,161.832,-0.3206,-0.9472,0.0038,19,2
0.0153,0.284,-7.3411,141.318,161.854,-0.4986,-0.6949,-0.5183,19,2
0.0159,0.1528,-7.4598,141.095,161.717,0.1864,-0.2179,-0.958,19,2
0.0088,0.0537,-7.4438,141.076,161.602,-0.2026,0.8608,-0.4668,19,2
0.0125,0.121,-7.4692,141.125,161.609,0.21,0.9776,0.0152,19,2
0.0139,0.0868,-7.4234,141.243,161.612,0.0419,0.758,-0.6509,19,2
0.0116,0.2016,-7.46,141.309,161.556,-0.013,0.5059,-0.8625,19,2
0.0278,0.1442,-7.5655,141.842,160.716,0.8103,-0.5599,-0.173,20,2
0.0277,0.1584,-7.4559,141.779,160.703,0.9038,0.1103,0.4135,20,2
0.0165,0.0654,-7.3041,141.795,160.754,0.8396,-0.132,0.5269,20,2
0.0164,0.0773,-7.2487,141.786,160.788,0.8049,-0.1353,0.5779,20,2
0.0162,0.0909,-7.1835,141.776,160.829,0.7711,-0.0859,0.6309,20,2
0.0229,0.0751,-7.1221,141.762,160.898,0.7171,0.2047,0.6662,20,2
0.0207,0.0846,-7.0387,141.769,160.94,0.3291,0.4149,0.8483,20,2
0.0278,0.1355,-7.0277,141.81,161.019,0.4517,0.4166,0.7889,20,2
